"name","url","calendar_url","email","contact","type_group","categories","description","notes","source","activity_level","audience_size","ownership","image","location","address","neighborhood","district","region","zipcode","county","city","state","area_code","latitude","longitude","location_geo","civic_taxonomy"
"Sample Group 1","http://example.com/1","http://example.com/calendar1","email1@example.com","Contact person: Chach Sikes","Website",,,,,,"1-10 People","Community","http://upload.wikimedia.org/wikipedia/commons/f/f4/Leaf_1_web.jpg",,,"Admiral (West Seattle), Alki, Allentown, Ballard, Beacon Hill, Belltown, Blue Ridge, Broadview, Bryn Mawr- Skyway, Capitol Hill, Central District, Columbia City, Crown Hill, Delridge, Downtown, Eastlake, Fauntleroy, First Hill, Fremont, Genesee, Genesee-Schmitz, Georgetown, Green Lake, Greenwood, Greenwood-Phinney, Haller Lake, Hawthorne Hills, High Point, Highland Park, Hillman City, Industrial District, Interbay, International District, Junction, Lake City, Lakeridge, Lakewood-Seward Park, Laurelhurst, Leschi, Licton Springs, Madison Park, Madrona, Magnolia, Maple Leaf, Miller Park, Morgan Junction, Mount Baker, North Admiral, North Seattle, Northgate, Northwest, Othello, Phinney Ridge, Pigeon Point, Pinehurst, Pioneer Square, Queen Anne, Rainier Beach, Rainier Valley, Ravenna, Regional Sites, Roosevelt, Seward Park, SoDo, South Lake Union, South Park, Thornton Creek, University District, View Ridge, Wallingford, Wedgwood, West Seattle, Westwood, White Center","Ballard, Central, Delridge Neighborhoods, Downtown, East, Greater Duwamish, Lake Union, Magnolia/Queen Anne, North, Northeast, Southeast, Southwest","N, NE, NW, S, SE, SW, E, W",98101,"King","Seattle","WA",206,47.611,-122.333,"{""type"":""Point"",""coordinates"":[-122.33,47.611]}",
"Sample Group 2","http://example.com/2","http://example.com/calendar2","email2@example.com","Anna Bloom anna@example.com between the hours of 2-5pm Monday – Friday.","Blog",,,,,,"10-100 People","Commericial",,,,,,,98102,,"Seattle","WA",206,47.633,-122.322,"{""type"":""Point"",""coordinates"":[-122.322,47.633]}",
"Sample Group 3","http://example.com/3","http://example.com/calendar3","email3@example.com","Alan Palazzolo 415-555-1212","E-mail list",,,,,,"100-1,000 People","Non-Profit",,,,,,,98103,,"Seattle","WA",206,47.671,-122.34,"{""type"":""Point"",""coordinates"":[-122.34,47.671]}",
"Sample Group 4",,,,,"Wiki",,,,,,"1,000-10,000 People","Personal",,,,,,,98103,,"Seattle","WA",206,47.671,-122.34,"{""type"":""Point"",""coordinates"":[-122.34,47.671]}",
"Sample Group 5",,,,,"Facebook Page",,,,,,"10,000-100,000 People","Government: City",,,,,,,98103,,"Seattle","WA",206,47.671,-122.34,"{""type"":""Point"",""coordinates"":[-122.34,47.671]}",
"Sample Group 6",,,,,"Myspace",,,,,,"100,000-500,000 People","Government: County",,,,,,,98104,,"Seattle","WA",206,47.605,-122.326,"{""type"":""Point"",""coordinates"":[-122.326,47.605]}",
"Sample Group 7",,,,,"Twitter",,,,,,"500,000-1 million People","Government: State",,,,,,,98105,,"Seattle","WA",206,47.661,-122.293,"{""type"":""Point"",""coordinates"":[-122.293,47.661]}",
"Sample Group 8",,,,,"Ning",,,,,,"Over 1 Million People","Government: Federal",,,,,,,98106,,"Seattle","WA",206,47.536,-122.353,,
,,,,,,,,,,,,,,,,,,,98107,,"Seattle","WA",206,47.67,-122.383,,
,,,,,,,,,,,,,,,,,,,98108,,"Seattle","WA",206,47.537,-122.31,,
,,,,,,,,,,,,,,,,,,,98109,,"Seattle","WA",206,47.629,-122.343,,
,,,,,,,,,,,,,,,,,,,98110,,"Seattle","WA",206,47.648,-122.534,,
,,,,,,,,,,,,,,,,,,,98111,,"Seattle","WA",206,47.61,-122.335,,
,,,,,,,,,,,,,,,,,,,98112,,"Seattle","WA",206,47.634,-122.293,,
