"name","url","calendar_url","email","contact","type_group","type_community","categories","description","notes","source","activity_level","audience_size","ownership","image","location","address","neighborhood","district","region","zipcode","county","city","state","area_code","latitude","longitude","location_geo","civic_taxonomy"
"Sample Group 1","http://example.com/1","http://example.com/calendar1","email1@example.com","Contact person: Chach Sikes","Website",,,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros. Nullam malesuada erat ut turpis. Suspendisse urna nibh, viverra non, semper suscipit, posuere a, pede.","Praesent dapibus, neque id cursus faucibus, tortor neque egestas augue, eu vulputate magna eros eu erat. Aliquam erat volutpat. Nam dui mi, tincidunt quis, accumsan porttitor, facilisis luctus, metus.","Bruce Blood","Multiple Daily","1-10 People","Community","http://upload.wikimedia.org/wikipedia/commons/f/f4/Leaf_1_web.jpg",,,"Admiral (West Seattle), Alki, Allentown, Ballard, Beacon Hill, Belltown, Blue Ridge, Broadview, Bryn Mawr- Skyway, Capitol Hill, Central District, Columbia City, Crown Hill, Delridge, Downtown, Eastlake, Fauntleroy, First Hill, Fremont, Genesee, Genesee-Schmitz, Georgetown, Green Lake, Greenwood, Greenwood-Phinney, Haller Lake, Hawthorne Hills, High Point, Highland Park, Hillman City, Industrial District, Interbay, International District, Junction, Lake City, Lakeridge, Lakewood-Seward Park, Laurelhurst, Leschi, Licton Springs, Madison Park, Madrona, Magnolia, Maple Leaf, Miller Park, Morgan Junction, Mount Baker, North Admiral, North Seattle, Northgate, Northwest, Othello, Phinney Ridge, Pigeon Point, Pinehurst, Pioneer Square, Queen Anne, Rainier Beach, Rainier Valley, Ravenna, Regional Sites, Roosevelt, Seward Park, SoDo, South Lake Union, South Park, Thornton Creek, University District, View Ridge, Wallingford, Wedgwood, West Seattle, Westwood, White Center","Ballard, Central, Delridge Neighborhoods, Downtown, East, Greater Duwamish, Lake Union, Magnolia/Queen Anne, North, Northeast, Southeast, Southwest","N, NE, NW, S, SE, SW, E, W",98106,,,,,,,,
"Sample Group 2","http://example.com/2","http://example.com/calendar2","email2@example.com","Anna Bloom anna@example.com between the hours of 2-5pm Monday – Friday.","Blog",,,"Praesent dapibus, neque id cursus faucibus, tortor neque egestas augue, eu vulputate magna eros eu erat. Aliquam erat volutpat. Nam dui mi, tincidunt quis, accumsan porttitor, facilisis luctus, metus.","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros. Nullam malesuada erat ut turpis. Suspendisse urna nibh, viverra non, semper suscipit, posuere a, pede.","Sol Villareal","Daily","10-100 People","Commercial",,,,,,,98106,,,,,,,,
"Sample Group 3","http://example.com/3","http://example.com/calendar3","email3@example.com","Alan Palazzolo 415-555-1212","E-mail list",,,"Pellentesque fermentum dolor. Aliquam quam lectus, facilisis auctor, ultrices ut, elementum vulputate, nunc.","Sed adipiscing ornare risus. Morbi est est, blandit sit amet, sagittis vel, euismod vel, velit. Pellentesque egestas sem. Suspendisse commodo ullamcorper magna.","Alan Palazzolo","Weekly","100-1,000 People","Non-Profit","http://accidentalmommies.com/wp-content/uploads/2011/06/happy-puppy.jpg",,,,,,98106,,,,,,,,
"Sample Group 4",,,,,"Wiki",,,"Sed adipiscing ornare risus. Morbi est est, blandit sit amet, sagittis vel, euismod vel, velit. Pellentesque egestas sem. Suspendisse commodo ullamcorper magna.","Pellentesque fermentum dolor. Aliquam quam lectus, facilisis auctor, ultrices ut, elementum vulputate, nunc.","Jen Pahlka","Monthly","1,000-10,000 People","Personal",,,,,,,98106,,,,,,,,
"Sample Group 5",,,,,"Facebook Page",,,"Pellentesque fermentum dolor. Aliquam quam lectus, facilisis auctor, ultrices ut, elementum vulputate, nunc.","Morbi in sem quis dui placerat ornare. Pellentesque odio nisi, euismod in, pharetra a, ultricies in, diam. Sed arcu. Cras consequat.","Abhi Nemani","Every Few Months","10,000-100,000 People","City",,,,,,,98106,,,,,,,,
"Sample Group 6",,,,,"Myspace",,,"Morbi in sem quis dui placerat ornare. Pellentesque odio nisi, euismod in, pharetra a, ultricies in, diam. Sed arcu. Cras consequat.","Pellentesque fermentum dolor. Aliquam quam lectus, facilisis auctor, ultrices ut, elementum vulputate, nunc.","Dan Melton","Yearly","100,000-500,000 People","County",,,,,,,98106,,,,,,,,
"Sample Group 7",,,,,"Twitter",,,,,"Julie O'Brien","Apparenly Inactive","500,000-1 million People","State",,,,,,,98106,,,,,,,,
"Sample Group 8",,,,,"Ning",,,,,,,"Over 1 Million People","Federal",,,,,,,98106,"King","Seattle","WA",206,47.536,-122.353,,
"Sample Group 9",,,,,,,,,,,,"Unknown","Government",,,,,,,98107,"King","Seattle","WA",206,47.67,-122.383,,
"Sample Group",,,,,,,,,,,,,,,,,,,,98108,"King","Seattle","WA",206,47.537,-122.31,,
"Sample Group",,,,,,,,,,,,,,,,,,,,98109,"King","Seattle","WA",206,47.629,-122.343,,
"Sample Group",,,,,,,,,,,,,,,,,,,,98110,"King","Seattle","WA",206,47.648,-122.534,,
"Sample Group",,,,,,,,,,,,,,,,,,,,98111,"King","Seattle","WA",206,47.61,-122.335,,
"Sample Group",,,,,,,,,,,,,,,,,,,,98112,"King","Seattle","WA",206,47.634,-122.293,,
"Sample Group",,,,,,,,,,,,,,,,,,,,98113,"King","Seattle","WA",206,47.675,-122.344,,
"Sample Group",,,,,,,,,,,,,,,,,,,,98114,"King","Seattle","WA",206,47.58,-122.313,,
"Sample Group",,,,,,,,,,,,,,,,,,,,98115,"King","Seattle","WA",206,47.683,-122.292,,
